Created as New Dataset,Sample 001 By Laboratory Date Friday, November 21 2025
cm-1,A
4000.00,1.2405
3999.00,1.2401
3998.00,1.2399
3997.00,1.2398
3996.00,1.2398
3995.00,1.2399
3994.00,1.2398
3993.00,1.2397
3992.00,1.2396
3991.00,1.2397
3990.00,1.2399
3989.00,1.2402
3988.00,1.2404
3987.00,1.2404
3986.00,1.2402
3985.00,1.2399
3984.00,1.2396
3983.00,1.2394
3982.00,1.2391
3981.00,1.2389
3980.00,1.2387
3979.00,1.2386
3978.00,1.2386
3977.00,1.2385
3976.00,1.2383
3975.00,1.2380
3974.00,1.2376
3973.00,1.2374
3972.00,1.2374
3971.00,1.2375
3970.00,1.2375
3969.00,1.2375
3968.00,1.2373
3967.00,1.2370
3966.00,1.2366
3965.00,1.2362
3964.00,1.2358
3963.00,1.2359
3962.00,1.2361
3961.00,1.2365
3960.00,1.2367
3959.00,1.2365
3958.00,1.2362
3957.00,1.2358
3956.00,1.2357
3955.00,1.2358
3954.00,1.2361
3953.00,1.2362
3952.00,1.2362
3951.00,1.2363
3950.00,1.2365
3949.00,1.2370
3948.00,1.2373
3947.00,1.2373
3946.00,1.2370
3945.00,1.2368
3944.00,1.2368
3943.00,1.2371
3942.00,1.2375
3941.00,1.2378
3940.00,1.2379
3939.00,1.2378
3938.00,1.2372
3937.00,1.2364
3936.00,1.2358
3935.00,1.2357
3934.00,1.2360
3933.00,1.2364
3932.00,1.2364
3931.00,1.2362
3930.00,1.2360
3929.00,1.2360
3928.00,1.2361
3927.00,1.2361
3926.00,1.2362
3925.00,1.2363
3924.00,1.2365
3923.00,1.2366
3922.00,1.2366
3921.00,1.2366
3920.00,1.2365
3919.00,1.2365
3918.00,1.2364
3917.00,1.2361
3916.00,1.2358
3915.00,1.2355
3914.00,1.2353
3913.00,1.2350
3912.00,1.2346
3911.00,1.2342
3910.00,1.2341
3909.00,1.2345
3908.00,1.2351
3907.00,1.2358
3906.00,1.2365
3905.00,1.2369
3904.00,1.2372
3903.00,1.2374
3902.00,1.2374
3901.00,1.2373
3900.00,1.2371
3899.00,1.2370
3898.00,1.2371
3897.00,1.2373
3896.00,1.2375
3895.00,1.2375
3894.00,1.2372
3893.00,1.2367
3892.00,1.2359
3891.00,1.2352
3890.00,1.2351
3889.00,1.2358
3888.00,1.2369
3887.00,1.2376
3886.00,1.2376
3885.00,1.2369
3884.00,1.2364
3883.00,1.2366
3882.00,1.2370
3881.00,1.2372
3880.00,1.2366
3879.00,1.2356
3878.00,1.2350
3877.00,1.2350
3876.00,1.2352
3875.00,1.2353
3874.00,1.2350
3873.00,1.2347
3872.00,1.2348
3871.00,1.2352
3870.00,1.2355
3869.00,1.2357
3868.00,1.2360
3867.00,1.2364
3866.00,1.2367
3865.00,1.2365
3864.00,1.2360
3863.00,1.2357
3862.00,1.2355
3861.00,1.2352
3860.00,1.2347
3859.00,1.2342
3858.00,1.2339
3857.00,1.2341
3856.00,1.2347
3855.00,1.2355
3854.00,1.2360
3853.00,1.2367
3852.00,1.2377
3851.00,1.2386
3850.00,1.2388
3849.00,1.2382
3848.00,1.2371
3847.00,1.2359
3846.00,1.2350
3845.00,1.2342
3844.00,1.2335
3843.00,1.2329
3842.00,1.2328
3841.00,1.2332
3840.00,1.2337
3839.00,1.2339
3838.00,1.2340
3837.00,1.2342
3836.00,1.2346
3835.00,1.2350
3834.00,1.2350
3833.00,1.2346
3832.00,1.2339
3831.00,1.2332
3830.00,1.2327
3829.00,1.2323
3828.00,1.2319
3827.00,1.2316
3826.00,1.2314
3825.00,1.2318
3824.00,1.2325
3823.00,1.2332
3822.00,1.2332
3821.00,1.2325
3820.00,1.2318
3819.00,1.2316
3818.00,1.2320
3817.00,1.2325
3816.00,1.2326
3815.00,1.2322
3814.00,1.2318
3813.00,1.2315
3812.00,1.2312
3811.00,1.2310
3810.00,1.2308
3809.00,1.2306
3808.00,1.2302
3807.00,1.2297
3806.00,1.2296
3805.00,1.2299
3804.00,1.2306
3803.00,1.2311
3802.00,1.2311
3801.00,1.2308
3800.00,1.2306
3799.00,1.2309
3798.00,1.2313
3797.00,1.2313
3796.00,1.2308
3795.00,1.2299
3794.00,1.2292
3793.00,1.2288
3792.00,1.2284
3791.00,1.2278
3790.00,1.2270
3789.00,1.2264
3788.00,1.2261
3787.00,1.2261
3786.00,1.2264
3785.00,1.2269
3784.00,1.2274
3783.00,1.2277
3782.00,1.2279
3781.00,1.2279
3780.00,1.2277
3779.00,1.2273
3778.00,1.2270
3777.00,1.2268
3776.00,1.2270
3775.00,1.2272
3774.00,1.2275
3773.00,1.2279
3772.00,1.2281
3771.00,1.2280
3770.00,1.2276
3769.00,1.2270
3768.00,1.2268
3767.00,1.2268
3766.00,1.2267
3765.00,1.2262
3764.00,1.2256
3763.00,1.2255
3762.00,1.2260
3761.00,1.2267
3760.00,1.2272
3759.00,1.2273
3758.00,1.2273
3757.00,1.2272
3756.00,1.2273
3755.00,1.2275
3754.00,1.2278
3753.00,1.2281
3752.00,1.2284
3751.00,1.2288
3750.00,1.2296
3749.00,1.2305
3748.00,1.2314
3747.00,1.2322
3746.00,1.2327
3745.00,1.2327
3744.00,1.2320
3743.00,1.2311
3742.00,1.2306
3741.00,1.2304
3740.00,1.2301
3739.00,1.2297
3738.00,1.2293
3737.00,1.2291
3736.00,1.2289
3735.00,1.2288
3734.00,1.2287
3733.00,1.2285
3732.00,1.2281
3731.00,1.2275
3730.00,1.2271
3729.00,1.2268
