Created as New Dataset,
cm-1,A
4000.00,1.7208
3999.00,1.7210
3998.00,1.7212
3997.00,1.7215
3996.00,1.7216
3995.00,1.7216
3994.00,1.7213
3993.00,1.7208
3992.00,1.7204
3991.00,1.7202
3990.00,1.7201
3989.00,1.7201
3988.00,1.7201
3987.00,1.7199
3986.00,1.7197
3985.00,1.7194
3984.00,1.7190
3983.00,1.7185
3982.00,1.7180
3981.00,1.7177
3980.00,1.7174
3979.00,1.7174
3978.00,1.7174
3977.00,1.7175
3976.00,1.7176
3975.00,1.7176
3974.00,1.7174
3973.00,1.7172
3972.00,1.7169
3971.00,1.7165
3970.00,1.7161
3969.00,1.7155
3968.00,1.7149
3967.00,1.7144
3966.00,1.7141
3965.00,1.7142
3964.00,1.7144
3963.00,1.7145
3962.00,1.7146
3961.00,1.7146
3960.00,1.7145
3959.00,1.7144
3958.00,1.7143
3957.00,1.7142
3956.00,1.7141
3955.00,1.7139
3954.00,1.7135
3953.00,1.7128
3952.00,1.7119
3951.00,1.7108
3950.00,1.7100
3949.00,1.7098
3948.00,1.7101
3947.00,1.7108
3946.00,1.7115
3945.00,1.7118
3944.00,1.7116
3943.00,1.7113
3942.00,1.7111
3941.00,1.7111
3940.00,1.7110
3939.00,1.7106
3938.00,1.7100
3937.00,1.7096
3936.00,1.7095
3935.00,1.7096
3934.00,1.7096
3933.00,1.7094
3932.00,1.7091
3931.00,1.7087
3930.00,1.7085
3929.00,1.7086
3928.00,1.7089
3927.00,1.7093
3926.00,1.7097
3925.00,1.7097
3924.00,1.7091
3923.00,1.7082
3922.00,1.7075
3921.00,1.7072
3920.00,1.7074
3919.00,1.7077
3918.00,1.7079
3917.00,1.7080
3916.00,1.7082
3915.00,1.7083
3914.00,1.7082
3913.00,1.7080
3912.00,1.7078
3911.00,1.7079
3910.00,1.7082
3909.00,1.7085
3908.00,1.7087
3907.00,1.7084
3906.00,1.7078
3905.00,1.7071
3904.00,1.7067
3903.00,1.7066
3902.00,1.7068
3901.00,1.7073
3900.00,1.7080
3899.00,1.7086
3898.00,1.7088
3897.00,1.7087
3896.00,1.7085
3895.00,1.7083
3894.00,1.7081
3893.00,1.7079
3892.00,1.7077
3891.00,1.7075
3890.00,1.7071
3889.00,1.7065
3888.00,1.7060
3887.00,1.7061
3886.00,1.7066
3885.00,1.7070
3884.00,1.7067
3883.00,1.7058
3882.00,1.7052
3881.00,1.7050
3880.00,1.7051
3879.00,1.7049
3878.00,1.7043
3877.00,1.7038
3876.00,1.7038
3875.00,1.7042
3874.00,1.7046
3873.00,1.7045
3872.00,1.7039
3871.00,1.7035
3870.00,1.7037
3869.00,1.7042
3868.00,1.7041
3867.00,1.7034
3866.00,1.7032
3865.00,1.7037
3864.00,1.7047
3863.00,1.7051
3862.00,1.7046
3861.00,1.7038
3860.00,1.7031
3859.00,1.7029
3858.00,1.7030
3857.00,1.7032
3856.00,1.7033
3855.00,1.7033
3854.00,1.7035
3853.00,1.7043
3852.00,1.7049
3851.00,1.7047
3850.00,1.7041
3849.00,1.7037
3848.00,1.7032
3847.00,1.7025
3846.00,1.7015
3845.00,1.7006
3844.00,1.7000
3843.00,1.6998
3842.00,1.7000
3841.00,1.7003
3840.00,1.7006
3839.00,1.7008
3838.00,1.7008
3837.00,1.7006
3836.00,1.7004
3835.00,1.7001
3834.00,1.7000
3833.00,1.6998
3832.00,1.6995
3831.00,1.6992
3830.00,1.6989
3829.00,1.6987
3828.00,1.6984
3827.00,1.6981
3826.00,1.6978
3825.00,1.6976
3824.00,1.6974
3823.00,1.6971
3822.00,1.6968
3821.00,1.6969
3820.00,1.6971
3819.00,1.6971
3818.00,1.6969
3817.00,1.6973
3816.00,1.6983
3815.00,1.6991
3814.00,1.6991
3813.00,1.6981
3812.00,1.6971
3811.00,1.6964
3810.00,1.6959
3809.00,1.6953
3808.00,1.6947
3807.00,1.6946
3806.00,1.6948
3805.00,1.6950
3804.00,1.6950
3803.00,1.6951
3802.00,1.6955
3801.00,1.6962
3800.00,1.6965
3799.00,1.6962
3798.00,1.6957
3797.00,1.6957
3796.00,1.6957
3795.00,1.6953
3794.00,1.6943
3793.00,1.6932
3792.00,1.6923
3791.00,1.6918
3790.00,1.6915
3789.00,1.6912
3788.00,1.6910
3787.00,1.6910
3786.00,1.6913
3785.00,1.6914
3784.00,1.6910
3783.00,1.6901
3782.00,1.6890
3781.00,1.6883
3780.00,1.6884
3779.00,1.6893
3778.00,1.6900
3777.00,1.6902
3776.00,1.6900
3775.00,1.6896
3774.00,1.6894
3773.00,1.6891
3772.00,1.6888
3771.00,1.6886
3770.00,1.6884
3769.00,1.6883
3768.00,1.6879
3767.00,1.6875
3766.00,1.6875
3765.00,1.6878
3764.00,1.6882
3763.00,1.6882
3762.00,1.6880
3761.00,1.6879
3760.00,1.6878
3759.00,1.6877
3758.00,1.6874
3757.00,1.6872
3756.00,1.6870
3755.00,1.6870
3754.00,1.6870
3753.00,1.6870
3752.00,1.6869
3751.00,1.6869
3750.00,1.6873
3749.00,1.6879
3748.00,1.6886
3747.00,1.6892
3746.00,1.6897
3745.00,1.6900
3744.00,1.6900
3743.00,1.6894
3742.00,1.6880
3741.00,1.6866
3740.00,1.6861
3739.00,1.6860
3738.00,1.6857
3737.00,1.6849
3736.00,1.6843
3735.00,1.6841
3734.00,1.6845
3733.00,1.6851
3732.00,1.6856
3731.00,1.6858
3730.00,1.6855
3729.00,1.6849
3728.00,1.6843
3727.00,1.6840
3726.00,1.6838
3725.00,1.6834
3724.00,1.6826
3723.00,1.6819
3722.00,1.6817
3721.00,1.6819
3720.00,1.6824
3719.00,1.6828
3718.00,1.6828
3717.00,1.6825
3716.00,1.6819
3715.00,1.6813
3714.00,1.6812
3713.00,1.6813
3712.00,1.6814
3711.00,1.6813
3710.00,1.6812
3709.00,1.6813
3708.00,1.6814
3707.00,1.6815
3706.00,1.6814
3705.00,1.6812
3704.00,1.6809
3703.00,1.6806
3702.00,1.6803
3701.00,1.6802
3700.00,1.6804
3699.00,1.6808
3698.00,1.6814
3697.00,1.6819
3696.00,1.6820
3695.00,1.6815
3694.00,1.6805
3693.00,1.6797
3692.00,1.6794
3691.00,1.6796
3690.00,1.6802
3689.00,1.6810
3688.00,1.6817
3687.00,1.6820
3686.00,1.6818
3685.00,1.6815
3684.00,1.6814
3683.00,1.6813
3682.00,1.6812
3681.00,1.6811
3680.00,1.6810
3679.00,1.6809
3678.00,1.6803
3677.00,1.6797
3676.00,1.6798
3675.00,1.6810
3674.00,1.6823
3673.00,1.6829
3672.00,1.6831
3671.00,1.6832
3670.00,1.6833
3669.00,1.6834
3668.00,1.6832
3667.00,1.6828
3666.00,1.6827
3665.00,1.6828
3664.00,1.6830
3663.00,1.6830
3662.00,1.6827
3661.00,1.6824
3660.00,1.6822
3659.00,1.6825
3658.00,1.6832
3657.00,1.6843
3656.00,1.6858
3655.00,1.6872
3654.00,1.6885
3653.00,1.6898
3652.00,1.6914
3651.00,1.6930
3650.00,1.6941
3649.00,1.6950
3648.00,1.6956
3647.00,1.6962
3646.00,1.6963
3645.00,1.6958
3644.00,1.6948
3643.00,1.6936
3642.00,1.6925
3641.00,1.6916
3640.00,1.6907
3639.00,1.6900
3638.00,1.6893
3637.00,1.6888
3636.00,1.6883
3635.00,1.6878
3634.00,1.6874
3633.00,1.6870
3632.00,1.6868
3631.00,1.6868
3630.00,1.6875
3629.00,1.6889
3628.00,1.6905
3627.00,1.6916
3626.00,1.6923
3625.00,1.6931
3624.00,1.6941
3623.00,1.6946
3622.00,1.6943
3621.00,1.6933
3620.00,1.6918
3619.00,1.6902
3618.00,1.6888
3617.00,1.6874
3616.00,1.6863
3615.00,1.6858
3614.00,1.6859
3613.00,1.6862
3612.00,1.6863
3611.00,1.6860
3610.00,1.6856
3609.00,1.6853
3608.00,1.6850
3607.00,1.6848
3606.00,1.6847
3605.00,1.6847
3604.00,1.6848
3603.00,1.6848
3602.00,1.6845
3601.00,1.6839
3600.00,1.6832
3599.00,1.6823
3598.00,1.6816
3597.00,1.6810
3596.00,1.6807
3595.00,1.6805
3594.00,1.6804
3593.00,1.6803
3592.00,1.6802
3591.00,1.6802
3590.00,1.6801
3589.00,1.6800
3588.00,1.6802
3587.00,1.6807
3586.00,1.6810
3585.00,1.6808
3584.00,1.6804
3583.00,1.6800
3582.00,1.6797
3581.00,1.6794
3580.00,1.6789
3579.00,1.6784
3578.00,1.6778
3577.00,1.6774
3576.00,1.6772
3575.00,1.6772
3574.00,1.6773
3573.00,1.6775
3572.00,1.6778
3571.00,1.6780
3570.00,1.6783
3569.00,1.6784
3568.00,1.6786
3567.00,1.6790
3566.00,1.6794
3565.00,1.6797
3564.00,1.6798
3563.00,1.6798
3562.00,1.6799
3561.00,1.6799
3560.00,1.6799
3559.00,1.6796
3558.00,1.6793
3557.00,1.6792
3556.00,1.6794
3555.00,1.6798
3554.00,1.6802
3553.00,1.6805
3552.00,1.6807
3551.00,1.6808
3550.00,1.6810
3549.00,1.6813
3548.00,1.6819
3547.00,1.6827
3546.00,1.6833
3545.00,1.6838
3544.00,1.6840
3543.00,1.6840
3542.00,1.6838
3541.00,1.6837
3540.00,1.6838
